La Quinta,33.6239791,-84.4538382,,4820 Massachusetts,Blvd,, Atlanta,30337
Ritz,33.757677,-84.3863706,,144 Peachtree Center,Ave,NE, Atlanta,30303
Kingsley Associates,33.759875,-84.386364,(770) 908-1220,229 Peachtree Center,Ave,NE, Atlanta,30303
Atlanta MLS,33.7616295,-84.3856057,(404) 239-3976,265 Peachtree Center,Ave,NE, Atlanta,30303
Hyatt Regency,33.7616213,-84.3862491,,266 Peachtree Center,Ave,NE, Atlanta,30303
Colonnade Properties,33.7619835,-84.3855791,(404) 589-4767,285 Peachtree Center,Ave,NE, Atlanta,30303
I W Entrekin Co,33.8403778,-84.3743133,(404) 237-6494,3128 E Shadowlawn,Ave,NE, Atlanta,30305
Re/Max AROUND ATLANTA,33.8186435,-84.3732083,(404) 237-9011,425 Peachtree Hills,Ave,NE, Atlanta,30305
Re/Max Around Atlanta,33.8190595,-84.3731521,(404) 592-5755,425 Peachtree Hills,Ave,NE, Atlanta,30305
The Marq at Brookhaven,33.835736,-84.337919,(404) 969-6914,50 Lincoln Ct,Ave,NE, Atlanta,30329
Community Development Solutions,33.762035,-84.3764729,(678) 362-4786,901 McGill Park,Ave,NE, Atlanta,30312
Intown Area Homes,33.770889,-84.367462,(678) 886-9929,C- 621 North,Ave,NE, Atlanta,30308
BuyNSellAtlanta.com,33.7922854,-84.3534123,(404) 326-0876,1370 North Highland,Ave,NE, Atlanta,30308
Coldwell Banker Residential Brokerage,33.792289,-84.353414,(404) 874-2262,1370 North Highland,Ave,NE, Atlanta,30306
Perennial Properties,33.7624517,-84.35951,(404) 420-8510,240 North Highland,Ave,NE, Atlanta,30307
Home Team Partners LLC,33.7721186,-84.3525931,(404) 895-8601,644 North Highland,Ave,NE, Atlanta,30306
Paces Properties,33.7771021,-84.3526333,(404) 898-0620,828 North Highland,Ave,NE, Atlanta,30306
Gallemore Group,33.758569,-84.373977,(678) 705-7326,409 John Wesley Dobbs,Ave,NE, Atlanta,30312
Sovereign Realty & Management LLC,33.758569,-84.373977,(404) 974-4694,409 John Wesley Dobbs,Ave,NE, Atlanta,30312
Nationwide Building Permits Inc.,33.759054,-84.36502,(404) 287-6390,691 John Wesley Dobbs,Ave,NE, Atlanta,30312
Sampson Lofts,33.7589679,-84.3647742,,691 John Wesley Dobbs,Ave,NE, Atlanta,30312
Proport,33.77269,-84.3804861,(404) 685-9798,214 Ponce De Leon,Ave,NE, Atlanta,30308
Camden Midtown Atlanta Apartments,33.7722325,-84.3787777,(404) 347-9200,265 Ponce De Leon,Ave,NE, Atlanta,30308
The Magnolia Room - Art House,33.7726213,-84.3752504,,368 Ponce De Leon,Ave,NE, Atlanta,30308
Clifton Jenkins Realty Inc,33.7722221,-84.3746584,(404) 607-7768,385 Ponce De Leon,Ave,NE, Atlanta,30308
Ponce Student Suites,33.7732838,-84.3688657,(678) 603-4529,551 Ponce De Leon,Ave,NE, Atlanta,30308
Prudential Realty,33.7770087,-84.3666295,(404) 892-6621,650 Ponce De Leon,Ave,NE, Atlanta,30308
Atlanta Dream Realty,33.7734694,-84.3551492,(678) 451-6184,985 Ponce De Leon,Ave,NE, Atlanta,30306
Atlanta Leasing & Investment,33.7631795,-84.3375649,(404) 348-4448,Bldg E 328 Mell,Ave,NE, Atlanta,30307
Heidi Reis Atlanta Intown Agent,33.770892,-84.367467,(404) 647-4697,Suite C50 621 North,Ave,NE, Atlanta,30308
Lenox Park Owners Associates,33.8502763,-84.3470246,(404) 816-9830,1025 Lenox Park,Blvd,NE, Atlanta,30319
Apec Enterprises,33.763796,-84.382846,(404) 584-8787,139 Ralph McGill,Blvd,NE, Atlanta,30308
Greenjar Home Staging,33.7673836,-84.3616194,(404) 964-8255,794 Ralph McGill,Blvd,NE, Atlanta,30312
TownePlace Suites Atlanta Buckhead,33.826163,-84.3610108,(404) 949-4820,820 Sidney Marcus,Blvd,NE, Atlanta,30324
Copenhill Lofts & Condominiums,33.7681422,-84.3594431,(404) 614-0543,850 Ralph McGill,Blvd,NE, Atlanta,30306
MoleBranch LLC,33.8309187,-84.3260203,(678) 386-8646,5305 Briarcliff Gables,Cir,NE, Atlanta,30329
Partnership Realty Inc,33.9041608,-84.3229942,(404) 234-0011,3818 Glen Arbor,Ct,NE, Atlanta,30319
Matchpoint Real Estate Services,33.892745,-84.35278,(404) 309-2278,615 Regency Forest,Ct,NE, Atlanta,30342
Expedia,33.831912,-84.3391228,(404) 728-8787,6 W Druid Hills,Dr,NE, Atlanta,30329
Bentley Investments,33.9126007,-84.3501038,(404) 705-5050,1150 Lake Hearn,Dr,NE, Atlanta,30342
Pavillion Partners LP,33.9126007,-84.3501038,(404) 705-5050,1150 Lake Hearn,Dr,NE, Atlanta,30342
Courtyard Atlanta Executive Park/Emory,33.829015,-84.338942,(404) 728-0708,1236 Executive Park,Dr,NE, Atlanta,30329
John and Lance@Prudential GA Realty,33.8174739,-84.3420209,(404) 210-7961,1297 Brook Forest,Dr,NE, Atlanta,30324
Homestead Atlanta - North Druid Hills,33.8324454,-84.3366336,(404) 325-1223,1339 Executive Park,Dr,NE, Atlanta,30329
N Morningside,33.7912206,-84.3562658,(404) 541-1495,1350 N Morningside,Dr,NE, Atlanta,30306
Briarcliff C.R.T,33.8252048,-84.3325917,(404) 926-6894,1417 Druid Valley,Dr,NE, Atlanta,30329
Sage Hospitality Resources,33.9162069,-84.3393606,(404) 459-0500,1501 Lake Hearn,Dr,NE, Atlanta,30319
Witt & Associates,33.842131,-84.346526,(404) 841-0644,2006 Tall Tree,Dr,NE, Atlanta,30324
RE/MAX Metro Atlanta,33.8280123,-84.3489986,(404) 405-6992,2688 Rivers Edge,Dr,NE, Atlanta,30324
St James Financial Group,33.827588,-84.3585688,(404) 259-0547,3220 Arbor Gates,Dr,NE, Atlanta,30324
Reit Management,33.8271898,-84.3380754,(404) 633-5684,4 Executive Park,Dr,NE, Atlanta,30329
Atlanta Luxury Real Estate Hamilton Wilson Properties,33.7663886,-84.3676313,(678) 404-2852,455 Glen Iris,Dr,NE, Atlanta,30308
Rojas Realty Group,33.893368,-84.387846,(404) 254-3485,5070 Lake Forrest,Dr,NE, Atlanta,30327
Anna's BBQ,33.751838,-84.322781,(404) 963-6976,1976 Hosea L Williams,Dr,NE, Atlanta,30317
Atlanta Real Estate Agent,33.7509662,-84.3211487,(404) 377-1369,2033-B Hosea L Williams,Dr,NE, Atlanta,30317
Keller Williams First Atlanta,33.9077177,-84.3595427,(404) 531-5700,200 Glenridge Point,Pkwy,NE, Atlanta,30342
HMC Realty,33.7598729,-84.3613749,(404) 588-0911,834 Inman Village,Pkwy,NE, Atlanta,30307
Georgia eFlat Fee Realty,33.7612696,-84.3606717,(404) 591-4145,870 Inman Village,Pkwy,NE, Atlanta,30307
Land'ago Real Estate Advisors,33.7612068,-84.3602708,(404) 518-8787,870 Inman Village,Pkwy,NE, Atlanta,30307
Richard Bowers & Co,33.865721,-84.340512,(404) 231-5252,1180 Brookhaven Park,Pl,NE, Atlanta,30319
Lamb Hal W,33.865708,-84.340232,(404) 237-0097,1186 Brookhaven Park,Pl,NE, Atlanta,30319
Ashwood Development Company,33.7932599,-84.368849,(404) 607-1168,1440 Dutch Valley,Pl,NE, Atlanta,30324
